epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,520.891,0.95423,0.86261,0.70806,1.28038,0.91818,0.83908,0.9062,0.6706,0.89193,0.86207,0.90655,0.7082,0.94147,1.19921,0.74123,1.41716,0.0008516,0.0008516,0.0008516
31,539.022,0.88647,0.8295,0.65908,1.22001,0.85908,0.87356,0.91946,0.68788,0.85908,0.87356,0.91747,0.70809,0.9551,1.19249,0.79102,1.41228,0.000812,0.000812,0.000812
32,553.936,0.89601,0.80053,0.62178,1.2035,0.91488,0.86478,0.92823,0.67176,0.91488,0.86478,0.92865,0.72263,0.99872,1.14295,0.77836,1.45516,0.0007724,0.0007724,0.0007724
33,564.192,0.92221,0.88008,0.62297,1.22445,0.94246,0.86207,0.90981,0.68694,0.94246,0.86207,0.91635,0.70969,0.95331,1.19376,0.7964,1.38481,0.0007328,0.0007328,0.0007328
34,574.863,0.82953,0.75935,0.60893,1.18914,0.93787,0.87356,0.91523,0.67714,0.93787,0.87356,0.91919,0.71049,0.99277,1.1159,0.7707,1.41451,0.0006932,0.0006932,0.0006932
35,585.369,0.87507,0.79234,0.61574,1.21821,0.86708,0.86207,0.91041,0.67237,0.89394,0.87193,0.91541,0.69889,0.93118,1.10244,0.72917,1.40518,0.0006536,0.0006536,0.0006536
36,595.578,0.83244,0.7385,0.57006,1.15865,0.93707,0.85584,0.91988,0.67218,0.93707,0.85584,0.91988,0.69628,0.94244,1.12874,0.70519,1.42771,0.000614,0.000614,0.000614
37,605.767,0.82212,0.74163,0.57914,1.16733,0.94493,0.85057,0.93078,0.69638,0.94493,0.85057,0.92879,0.71886,0.95351,1.07516,0.71921,1.42051,0.0005744,0.0005744,0.0005744
38,616.14,0.83629,0.74819,0.60403,1.20236,0.86051,0.87356,0.92416,0.70118,0.94362,0.83908,0.93591,0.71424,0.90495,1.06575,0.71167,1.38576,0.0005348,0.0005348,0.0005348
39,626.501,0.82004,0.75012,0.60169,1.19328,0.96066,0.83908,0.92234,0.7151,0.94915,0.88506,0.93522,0.74871,0.88843,1.08244,0.72795,1.3811,0.0004952,0.0004952,0.0004952
40,637.406,0.79334,0.77916,0.60526,1.19301,0.90736,0.90062,0.94241,0.71563,0.92662,0.91954,0.94612,0.74492,0.90798,1.0782,0.71919,1.41534,0.0004556,0.0004556,0.0004556
41,652.142,0.81589,0.70635,0.58347,1.24467,0.90673,0.89655,0.94221,0.69352,0.9084,0.90805,0.94372,0.73544,0.93722,1.11926,0.67698,1.41065,0.000416,0.000416,0.000416
42,662.447,0.76695,0.66861,0.52972,1.19774,0.94112,0.86207,0.94796,0.729,0.91495,0.88506,0.93983,0.74078,0.90369,1.09704,0.64987,1.39636,0.0003764,0.0003764,0.0003764
43,673.565,0.7861,0.68297,0.52259,1.22126,0.94296,0.86207,0.9297,0.69785,0.90722,0.8992,0.93601,0.74828,0.91767,1.09544,0.66588,1.40346,0.0003368,0.0003368,0.0003368
44,684.072,0.74286,0.66733,0.52137,1.21296,0.88254,0.89655,0.92485,0.74177,0.89408,0.90805,0.93398,0.75697,0.84682,1.07756,0.70345,1.36074,0.0002972,0.0002972,0.0002972
45,694.502,0.72967,0.65419,0.50545,1.20746,0.92215,0.88506,0.93066,0.74779,0.9202,0.89655,0.94126,0.77008,0.84354,1.05266,0.64882,1.33748,0.0002576,0.0002576,0.0002576
46,704.769,0.70248,0.62834,0.47928,1.18726,0.93894,0.88506,0.94092,0.74689,0.93894,0.88506,0.94828,0.76994,0.86797,1.05541,0.6282,1.35424,0.000218,0.000218,0.000218
47,715.082,0.68802,0.63134,0.46877,1.14566,0.93797,0.88506,0.93949,0.7497,0.94655,0.89655,0.94697,0.77625,0.85564,1.07455,0.61383,1.35584,0.0001784,0.0001784,0.0001784
48,725.321,0.7051,0.65583,0.47235,1.16674,0.91673,0.88582,0.9359,0.74154,0.94038,0.90805,0.9474,0.77626,0.86518,1.0895,0.62096,1.35888,0.0001388,0.0001388,0.0001388
49,735.543,0.6846,0.63385,0.4674,1.14721,0.93096,0.88506,0.94115,0.74586,0.95571,0.90805,0.94787,0.77235,0.85516,1.08111,0.62726,1.35812,9.92e-05,9.92e-05,9.92e-05
50,745.692,0.67303,0.62524,0.439,1.1396,0.90714,0.90805,0.94097,0.73681,0.91862,0.91954,0.94438,0.77317,0.87761,1.08313,0.62432,1.39045,5.96e-05,5.96e-05,5.96e-05
