epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0391,1.92332,3.53266,3.87845,1.8577,0.01576,0.56322,0.01435,0.00704,0.01594,0.56322,0.0145,0.00799,1.75269,3.21992,80.3876,1.68281,0.00052,0.00052,0.00052
2,22.1692,1.56739,1.85475,2.81195,1.65455,0.02688,0.42529,0.01712,0.00711,0.02761,0.43678,0.01738,0.00815,nan,nan,nan,nan,0.00095506,0.00095506,0.00095506
3,31.0916,1.55416,1.56821,1.7628,1.63885,0.00297,0.44828,0.00219,0.00088,0.00242,0.34483,0.00158,0.0006,nan,nan,nan,nan,0.0012832,0.0012832,0.0012832
4,39.7519,1.49994,1.57008,1.50621,1.61253,0.02225,0.57471,0.01579,0.00883,0.02181,0.56322,0.01509,0.01016,1.53758,nan,inf,40.525,0.001406,0.001406,0.001406
5,48.5376,1.35233,1.35236,1.18987,1.48131,0.09865,0.56322,0.07469,0.04404,0.10101,0.58621,0.07583,0.04882,1.38337,11.288,16.4291,2.17422,0.001208,0.001208,0.001208
6,57.3723,1.27726,1.16521,1.11043,1.39741,0.57983,0.77725,0.73706,0.43793,0.6028,0.80243,0.78427,0.52452,1.27617,1.85203,2.08177,1.71596,0.00101,0.00101,0.00101
7,66.0964,1.22972,1.09647,1.02704,1.34361,0.77256,0.74186,0.8219,0.5031,0.77256,0.74186,0.82633,0.57253,1.18249,1.53174,1.25621,1.46264,0.000812,0.000812,0.000812
8,74.7583,1.13514,1.01573,0.92661,1.26615,0.81327,0.85104,0.8823,0.56552,0.81327,0.85104,0.88161,0.6306,1.08595,1.49055,1.04256,1.30708,0.000614,0.000614,0.000614
9,83.5325,1.05356,0.95407,0.85679,1.24147,0.84125,0.79184,0.87,0.62918,0.86567,0.81483,0.8943,0.65913,1.03124,1.33964,0.89161,1.28581,0.000416,0.000416,0.000416
10,92.2847,1.021,0.92322,0.83382,1.23246,0.86957,0.84294,0.90591,0.66279,0.86957,0.84294,0.90674,0.70787,0.96642,1.21099,0.84656,1.208,0.000218,0.000218,0.000218
